price,brand,model,year,title_status,mileage,color,vin,lot,state,country
17800,ford,escape,2019,clean vehicle,26675.0,black,  1fmcu9gd2kub09873,167751579,virginia, usa
25700,ford,f-150,2019,clean vehicle,17828.0,black,  1ftew1c51kke08595,167796775,nevada, usa
17200,ford,escape,2019,clean vehicle,29632.0,white,  1fmcu9gd2kua07649,167751582,virginia, usa
35000,ford,srw,2019,clean vehicle,11544.0,white,  1ft7w2b66kee46377,167602593,new jersey, usa
28800,ford,f-150,2019,clean vehicle,21976.0,white,  1ftew1c50kke09205,167796776,nevada, usa
39200,ford,max,2019,clean vehicle,43617.0,black,  1fmjk1jt7kea20776,167751588,tennessee, usa
13600,ford,escape,2019,clean vehicle,49254.0,gray,  1fmcu9gdxkua14655,167602886,pennsylvania, usa
24200,ford,f-150,2019,clean vehicle,51589.0,black,  1ftew1e43kkc41032,167796781,nevada, usa
46900,ford,max,2019,clean vehicle,41399.0,gray,  1fmjk2at3kea27617,167751592,virginia, usa
26500,ford,f-150,2019,clean vehicle,11734.0,gray,  1ftex1e51kkd09298,167603229,pennsylvania, usa
24700,ford,explorer,2019,clean vehicle,41628.0,silver,  1fm5k7f87kgb11625,167796782,nevada, usa
12600,ford,focus,2017,clean vehicle,15075.0,gray,  1fadp3m2xhl322025,167604497,new jersey, usa
31800,ford,f-150,2019,clean vehicle,26591.0,red,  1ftew1e58kkd14212,167796793,nevada, usa
24500,ford,f-150,2019,clean vehicle,22906.0,white,  1ftew1ebxkkd48349,167796794,nevada, usa
26000,ford,f-150,2019,clean vehicle,33462.0,white,  1ftew1c52kfa20803,167751797,virginia, usa
21000,ford,f-150,2017,clean vehicle,32747.0,gray,  1ftex1ep6hfa52321,167605767,pennsylvania, usa
22500,ford,f-150,2019,clean vehicle,33717.0,white,  1ftew1c50kkc38522,167796795,nevada, usa
7700,ford,door,2017,clean vehicle,85218.0,black,  3fa6p0hd5hr138812,167605900,pennsylvania, usa
23100,ford,f-150,2019,clean vehicle,23512.0,red,  1ftew1c57kkc38467,167796798,nevada, usa
9200,ford,door,2017,clean vehicle,57853.0,white,  3fa6p0h78hr355815,167605912,pennsylvania, usa
19600,ford,mustang,2019,clean vehicle,33324.0,gray,  1fatp8uh2k5158763,167796852,nevada, usa
11700,ford,door,2016,clean vehicle,23803.0,black,  1fmcu9gx9gub00752,167606676,pennsylvania, usa
27300,ford,mustang,2019,clean vehicle,31260.0,blue,  1fatp8ff1k5179289,167796914,nevada, usa
14300,ford,edge,2016,clean vehicle,69428.0,white,  2fmpk4j8xgbc53478,167606685,pennsylvania, usa
23600,ford,transit,2019,clean vehicle,15755.0,white,  1ftyr2cm5kka60432,167796971,nevada, usa
6200,ford,door,2016,clean vehicle,90946.0,gray,  3fa6p0g74gr199577,167606721,pennsylvania, usa
22400,ford,wagon,2019,clean vehicle,51370.0,white,  1fbzx2zm0kka60182,167796980,nevada, usa
5700,ford,door,2016,clean vehicle,99941.0,black,  3fa6p0g70gr318340,167606726,pennsylvania, usa
23600,ford,transit,2019,clean vehicle,15456.0,white,  1ftyr2cm5kka75108,167796985,nevada, usa
4600,ford,door,2016,clean vehicle,141603.0,gray,  3fa6p0lu2gr318609,167606867,pennsylvania, usa
37500,ford,srw,2019,clean vehicle,2382.0,silver,  1ft7w2bt5kef24315,167797183,nevada, usa
10700,ford,van,2016,clean vehicle,99544.0,white,  1ftye1ym1gkb56631,167606942,pennsylvania, usa
31900,ford,srw,2019,clean vehicle,21546.0,black,  1ft7w2b6xkee55356,167797184,nevada, usa
31600,ford,mustang,2019,clean vehicle,16293.0,black,  1fa6p8cf1k5144124,167752777,georgia, usa
12600,ford,escape,2018,clean vehicle,40375.0,gray,  1fmcu0gd0juc90126,167798137,nevada, usa
5300,ford,door,2013,clean vehicle,143191.0,gray,  1ftex1cm2dfc43995,167607966,pennsylvania, usa
3900,ford,fiesta,2018,clean vehicle,363.0,blue,  3fadp4bj2jm136595,167798138,nevada, usa
13000,ford,edge,2015,clean vehicle,59656.0,gray,  2fmpk3j80fbb14677,167608955,florida, usa
11800,ford,ecosport,2018,clean vehicle,37878.0,black,  maj3p1ve4jc210836,167798148,nevada, usa
24600,ford,edge,2019,clean vehicle,20628.0,black,  2fmpk3k94kbb62331,167752784,georgia, usa
14500,ford,door,2014,clean vehicle,71205.0,black,  1ftfw1cf3efa59580,167609633,florida, usa
24300,ford,explorer,2018,clean vehicle,26186.0,silver,  1fm5k7f8xjga57221,167798150,nevada, usa
